Sl.No,Transaction ID,Product,Price/Unit,Quantity,Total Spent,Payment Method,Purchase_Mode,Transaction Date,Discount Applied,Transaction_Month_Name,Transaction Day,Transaction Quarter,Revenue,Avg_Spend/Unit,Top sales,Bulk Order,Product Price Band
855,TXN_5157703,Electric household essentials,5.0,10.0,50.0,Cash,In-store,2022-08-30,True,August,Tuesday,3,Low,5.0,0,0,Low
856,TXN_9861104,Electric household essentials,38.0,1.0,38.0,Credit Card,In-store,2024-05-01,False,May,Wednesday,2,Low,38.0,0,0,High
857,TXN_5135315,Furniture,5.0,5.0,25.0,Credit Card,Online,2022-03-12,Unknown,March,Saturday,1,Low,5.0,0,0,Low
858,TXN_2641403,Furniture,5.0,3.0,15.0,Digital Wallet,Online,2022-07-12,True,July,Tuesday,3,Low,5.0,0,0,Low
859,TXN_8263646,Butchers,33.5,4.0,134.0,Cash,In-store,2022-11-15,False,November,Tuesday,4,Medium,33.5,0,0,High
860,TXN_3609446,Butchers,8.0,9.0,72.0,Digital Wallet,In-store,2022-12-27,Unknown,December,Tuesday,4,Medium,8.0,0,0,Low
861,TXN_1713611,Electric household essentials,27.5,1.0,27.5,Digital Wallet,Online,2024-09-14,True,September,Saturday,3,Low,27.5,0,0,Medium
862,TXN_2843259,Patisserie,23.0,1.0,23.0,Digital Wallet,In-store,2023-03-25,True,March,Saturday,1,Low,23.0,0,0,Medium
863,TXN_6957171,Butchers,38.0,7.0,266.0,Cash,Online,2024-05-20,Unknown,May,Monday,2,High,38.0,1,0,High
864,TXN_2266101,Patisserie,32.0,2.0,64.0,Digital Wallet,In-store,2024-01-29,False,January,Monday,1,Low,32.0,0,0,High
865,TXN_5083807,Butchers,18.5,4.0,74.0,Cash,Online,2023-01-03,Unknown,January,Tuesday,1,Medium,18.5,0,0,Low
866,TXN_8359203,Electric household essentials,17.0,9.0,153.0,Credit Card,In-store,2023-10-30,Unknown,October,Monday,4,Medium,17.0,0,0,Low
867,TXN_3278532,Furniture,23.0,9.0,207.0,Cash,In-store,2025-01-12,False,January,Sunday,1,High,23.0,1,0,Medium
868,TXN_5044125,Furniture,41.0,7.0,287.0,Digital Wallet,Online,2024-01-30,Unknown,January,Tuesday,1,High,41.0,1,0,High
869,TXN_2880856,Patisserie,23.0,4.0,92.0,Credit Card,In-store,2024-02-15,False,February,Thursday,1,Medium,23.0,0,0,Medium
870,TXN_6337676,Furniture,11.0,9.0,99.0,Digital Wallet,In-store,2023-02-28,Unknown,February,Tuesday,1,Medium,11.0,0,0,Low
871,TXN_1909279,Electric household essentials,24.5,6.0,147.0,Credit Card,Online,2024-06-12,True,June,Wednesday,2,Medium,24.5,0,0,Medium
872,TXN_8948224,Food,20.0,10.0,200.0,Credit Card,Online,2023-03-14,False,March,Tuesday,1,High,20.0,1,0,Medium
873,TXN_8431366,Butchers,41.0,9.0,369.0,Credit Card,Online,2024-01-01,Unknown,January,Monday,1,High,41.0,1,0,High
874,TXN_6311622,Furniture,29.0,7.0,203.0,Credit Card,In-store,2023-11-30,True,November,Thursday,4,High,29.0,1,0,Medium
875,TXN_4879594,Furniture,26.0,9.0,234.0,Digital Wallet,Online,2023-12-26,False,December,Tuesday,4,High,26.0,1,0,Medium
876,TXN_4274209,Beverages,18.5,9.0,166.5,Cash,Online,2024-11-19,False,November,Tuesday,4,High,18.5,0,0,Low
877,TXN_6178045,Food,12.5,1.0,12.5,Credit Card,Online,2024-02-03,False,February,Saturday,1,Low,12.5,0,0,Low
878,TXN_7893748,Beverages,21.5,5.0,107.5,Cash,Online,2022-06-06,Unknown,June,Monday,2,Medium,21.5,0,0,Medium
879,TXN_1929919,Butchers,14.0,6.0,84.0,Cash,In-store,2023-07-27,Unknown,July,Thursday,3,Medium,14.0,0,0,Low
880,TXN_4250712,Milk Products,20.0,5.0,100.0,Credit Card,Online,2022-10-17,Unknown,October,Monday,4,Medium,20.0,0,0,Medium
881,TXN_8568584,Butchers,33.5,4.0,134.0,Cash,Online,2024-09-25,False,September,Wednesday,3,Medium,33.5,0,0,High
882,TXN_3512388,Furniture,23.0,10.0,230.0,Digital Wallet,In-store,2024-03-30,Unknown,March,Saturday,1,High,23.0,1,0,Medium
883,TXN_5518578,Electric household essentials,32.0,6.0,192.0,Cash,In-store,2022-09-15,False,September,Thursday,3,High,32.0,0,0,High
884,TXN_3665861,Furniture,30.5,1.0,30.5,Credit Card,Online,2023-01-30,Unknown,January,Monday,1,Low,30.5,0,0,High
885,TXN_6625191,Beverages,24.5,8.0,196.0,Digital Wallet,Online,2022-05-23,False,May,Monday,2,High,24.5,1,0,Medium
886,TXN_2259360,Electric household essentials,21.5,6.0,129.0,Digital Wallet,In-store,2022-02-17,False,February,Thursday,1,Medium,21.5,0,0,Medium
887,TXN_4732308,Milk Products,23.0,4.0,92.0,Credit Card,In-store,2022-11-28,Unknown,November,Monday,4,Medium,23.0,0,0,Medium
888,TXN_5276201,Computers and electric accessories,35.0,7.0,245.0,Digital Wallet,In-store,2023-03-24,True,March,Friday,1,High,35.0,1,0,High
889,TXN_8905154,Butchers,23.0,5.0,115.0,Credit Card,In-store,2022-10-24,Unknown,October,Monday,4,Medium,23.0,0,0,Medium
890,TXN_4785966,Electric household essentials,18.5,1.0,18.5,Digital Wallet,In-store,2022-09-11,True,September,Sunday,3,Low,18.5,0,0,Low
891,TXN_8377286,Electric household essentials,26.0,5.0,130.0,Credit Card,In-store,2024-06-25,False,June,Tuesday,2,Medium,26.0,0,0,Medium
892,TXN_2789621,Milk Products,41.0,3.0,123.0,Digital Wallet,In-store,2023-07-15,False,July,Saturday,3,Medium,41.0,0,0,High
893,TXN_5084402,Butchers,36.5,1.0,36.5,Cash,In-store,2024-04-06,Unknown,April,Saturday,2,Low,36.5,0,0,High
894,TXN_8578826,Computers and electric accessories,17.0,3.0,51.0,Digital Wallet,Online,2024-08-15,False,August,Thursday,3,Low,17.0,0,0,Low
895,TXN_9979595,Butchers,36.5,4.0,146.0,Digital Wallet,Online,2023-03-02,Unknown,March,Thursday,1,Medium,36.5,0,0,High
896,TXN_4285730,Patisserie,39.5,6.0,237.0,Cash,Online,2022-01-14,Unknown,January,Friday,1,High,39.5,1,0,High
897,TXN_9212341,Butchers,23.0,9.0,207.0,Credit Card,In-store,2023-08-23,False,August,Wednesday,3,High,23.0,1,0,Medium
898,TXN_1587097,Computers and electric accessories,27.5,10.0,275.0,Cash,In-store,2024-02-25,False,February,Sunday,1,High,27.5,1,0,Medium
899,TXN_3636688,Patisserie,24.5,8.0,196.0,Credit Card,Online,2025-01-05,False,January,Sunday,1,High,24.5,1,0,Medium
900,TXN_1534681,Food,24.5,6.0,147.0,Credit Card,In-store,2023-01-11,False,January,Wednesday,1,Medium,24.5,0,0,Medium
901,TXN_8824415,Computers and electric accessories,18.5,4.0,74.0,Credit Card,In-store,2023-06-11,Unknown,June,Sunday,2,Medium,18.5,0,0,Low
902,TXN_8423309,Computers and electric accessories,8.0,9.0,72.0,Credit Card,Online,2022-05-30,False,May,Monday,2,Medium,8.0,0,0,Low
903,TXN_5634366,Patisserie,32.0,2.0,64.0,Cash,Online,2023-06-12,Unknown,June,Monday,2,Low,32.0,0,0,High
904,TXN_1770062,Furniture,41.0,2.0,82.0,Cash,In-store,2023-02-28,True,February,Tuesday,1,Medium,41.0,0,0,High
905,TXN_4344002,Beverages,20.0,3.0,60.0,Credit Card,Online,2023-09-28,False,September,Thursday,3,Low,20.0,0,0,Medium
906,TXN_4161318,Electric household essentials,23.0,7.0,161.0,Credit Card,Online,2023-08-18,False,August,Friday,3,High,23.0,0,0,Medium
907,TXN_2718523,Electric household essentials,26.0,5.0,130.0,Credit Card,In-store,2024-08-27,Unknown,August,Tuesday,3,Medium,26.0,0,0,Medium
908,TXN_8660754,Computers and electric accessories,17.0,2.0,34.0,Digital Wallet,In-store,2022-03-24,True,March,Thursday,1,Low,17.0,0,0,Low
909,TXN_5283643,Beverages,39.5,8.0,316.0,Cash,Online,2023-07-09,True,July,Sunday,3,High,39.5,1,0,High
910,TXN_5401680,Electric household essentials,20.0,9.0,180.0,Cash,In-store,2023-01-23,False,January,Monday,1,High,20.0,0,0,Medium
911,TXN_6203639,Beverages,32.0,5.0,160.0,Digital Wallet,Online,2022-06-07,Unknown,June,Tuesday,2,Medium,32.0,0,0,High
912,TXN_6461094,Beverages,6.5,3.0,19.5,Cash,In-store,2024-04-04,True,April,Thursday,2,Low,6.5,0,0,Low
913,TXN_8217860,Computers and electric accessories,29.0,10.0,290.0,Credit Card,In-store,2022-07-23,Unknown,July,Saturday,3,High,29.0,1,0,Medium
914,TXN_2411071,Electric household essentials,41.0,4.0,164.0,Cash,In-store,2023-11-28,False,November,Tuesday,4,High,41.0,0,0,High
915,TXN_1898388,Milk Products,32.0,8.0,256.0,Credit Card,In-store,2023-09-22,False,September,Friday,3,High,32.0,1,0,High
916,TXN_1787892,Food,18.5,6.0,111.0,Digital Wallet,Online,2022-11-10,True,November,Thursday,4,Medium,18.5,0,0,Low
917,TXN_2031813,Butchers,23.0,1.0,23.0,Credit Card,Online,2024-07-11,True,July,Thursday,3,Low,23.0,0,0,Medium
918,TXN_1426923,Food,30.5,5.0,152.5,Cash,In-store,2022-04-10,True,April,Sunday,2,Medium,30.5,0,0,High
919,TXN_7988578,Butchers,36.5,7.0,255.5,Credit Card,In-store,2023-01-18,True,January,Wednesday,1,High,36.5,1,0,High
920,TXN_7642752,Computers and electric accessories,6.5,10.0,65.0,Cash,Online,2025-01-15,False,January,Wednesday,1,Low,6.5,0,0,Low
921,TXN_5676229,Food,23.0,2.0,46.0,Credit Card,Online,2022-02-21,True,February,Monday,1,Low,23.0,0,0,Medium
922,TXN_2515470,Food,8.0,6.0,48.0,Credit Card,Online,2023-09-20,Unknown,September,Wednesday,3,Low,8.0,0,0,Low
923,TXN_4235666,Furniture,30.5,8.0,244.0,Credit Card,Online,2022-05-19,False,May,Thursday,2,High,30.5,1,0,High
924,TXN_6576597,Computers and electric accessories,18.5,9.0,166.5,Cash,Online,2023-02-09,Unknown,February,Thursday,1,High,18.5,0,0,Low
925,TXN_2823534,Food,8.0,1.0,8.0,Digital Wallet,In-store,2024-03-28,Unknown,March,Thursday,1,Low,8.0,0,0,Low
926,TXN_7633119,Electric household essentials,23.0,9.0,207.0,Cash,Online,2022-03-01,True,March,Tuesday,1,High,23.0,1,0,Medium
927,TXN_8110567,Beverages,33.5,6.0,201.0,Digital Wallet,In-store,2022-04-12,True,April,Tuesday,2,High,33.5,1,0,High
928,TXN_3833413,Butchers,9.5,5.0,47.5,Credit Card,In-store,2023-03-20,False,March,Monday,1,Low,9.5,0,0,Low
929,TXN_7085000,Electric household essentials,11.0,8.0,88.0,Cash,Online,2022-07-23,True,July,Saturday,3,Medium,11.0,0,0,Low
930,TXN_9925623,Beverages,41.0,4.0,164.0,Credit Card,Online,2022-08-20,False,August,Saturday,3,High,41.0,0,0,High
931,TXN_6287957,Butchers,27.5,5.0,137.5,Credit Card,Online,2023-06-19,True,June,Monday,2,Medium,27.5,0,0,Medium
932,TXN_9187149,Butchers,39.5,6.0,237.0,Cash,In-store,2022-01-13,Unknown,January,Thursday,1,High,39.5,1,0,High
933,TXN_7166849,Furniture,15.5,7.0,108.5,Credit Card,Online,2023-10-15,True,October,Sunday,4,Medium,15.5,0,0,Low
934,TXN_7189749,Butchers,18.5,6.0,111.0,Cash,Online,2022-07-17,Unknown,July,Sunday,3,Medium,18.5,0,0,Low
935,TXN_3818660,Food,21.5,4.0,86.0,Cash,In-store,2024-12-13,False,December,Friday,4,Medium,21.5,0,0,Medium
936,TXN_3470552,Furniture,38.0,10.0,380.0,Digital Wallet,Online,2024-03-09,False,March,Saturday,1,High,38.0,1,0,High
937,TXN_2848606,Electric household essentials,33.5,6.0,201.0,Cash,In-store,2022-12-20,Unknown,December,Tuesday,4,High,33.5,1,0,High
938,TXN_8262433,Computers and electric accessories,11.0,10.0,110.0,Credit Card,Online,2023-09-18,False,September,Monday,3,Medium,11.0,0,0,Low
939,TXN_5376341,Food,17.0,6.0,102.0,Credit Card,Online,2022-02-22,Unknown,February,Tuesday,1,Medium,17.0,0,0,Low
940,TXN_7829206,Butchers,15.5,1.0,15.5,Cash,Online,2024-12-05,True,December,Thursday,4,Low,15.5,0,0,Low
941,TXN_4107798,Computers and electric accessories,30.5,6.0,183.0,Cash,Online,2022-09-08,Unknown,September,Thursday,3,High,30.5,0,0,High
942,TXN_9922518,Food,36.5,9.0,328.5,Cash,Online,2023-07-30,True,July,Sunday,3,High,36.5,1,0,High
943,TXN_9250241,Beverages,18.5,1.0,18.5,Cash,Online,2024-11-17,True,November,Sunday,4,Low,18.5,0,0,Low
944,TXN_3499525,Beverages,15.5,6.0,93.0,Digital Wallet,Online,2024-02-16,Unknown,February,Friday,1,Medium,15.5,0,0,Low
945,TXN_9218611,Milk Products,14.0,8.0,112.0,Digital Wallet,Online,2023-12-16,False,December,Saturday,4,Medium,14.0,0,0,Low
946,TXN_2165118,Food,29.0,6.0,174.0,Cash,In-store,2023-11-28,False,November,Tuesday,4,High,29.0,0,0,Medium
947,TXN_1096977,Food,23.0,9.0,207.0,Cash,In-store,2024-12-07,False,December,Saturday,4,High,23.0,1,0,Medium
948,TXN_1772882,Butchers,20.0,9.0,180.0,Digital Wallet,In-store,2023-12-18,True,December,Monday,4,High,20.0,0,0,Medium
949,TXN_8988049,Milk Products,8.0,6.0,48.0,Digital Wallet,In-store,2023-06-27,False,June,Tuesday,2,Low,8.0,0,0,Low
950,TXN_7477131,Patisserie,14.0,3.0,42.0,Cash,Online,2024-09-29,True,September,Sunday,3,Low,14.0,0,0,Low
951,TXN_9887959,Beverages,21.5,6.0,129.0,Cash,Online,2023-08-09,True,August,Wednesday,3,Medium,21.5,0,0,Medium
952,TXN_3499898,Furniture,33.5,3.0,100.5,Credit Card,Online,2024-03-28,Unknown,March,Thursday,1,Medium,33.5,0,0,High
953,TXN_9017628,Food,23.0,5.0,115.0,Credit Card,In-store,2022-10-10,False,October,Monday,4,Medium,23.0,0,0,Medium
954,TXN_3294951,Food,11.0,10.0,110.0,Cash,In-store,2023-09-15,False,September,Friday,3,Medium,11.0,0,0,Low
955,TXN_9568940,Patisserie,21.5,5.0,107.5,Cash,Online,2025-01-02,False,January,Thursday,1,Medium,21.5,0,0,Medium
956,TXN_2508784,Beverages,15.5,7.0,108.5,Credit Card,Online,2024-08-29,True,August,Thursday,3,Medium,15.5,0,0,Low
957,TXN_9196494,Electric household essentials,41.0,5.0,205.0,Credit Card,In-store,2024-12-28,True,December,Saturday,4,High,41.0,1,0,High
958,TXN_5928440,Furniture,24.5,2.0,49.0,Digital Wallet,In-store,2022-04-29,Unknown,April,Friday,2,Low,24.5,0,0,Medium
959,TXN_3264150,Milk Products,9.5,10.0,95.0,Credit Card,Online,2023-03-24,Unknown,March,Friday,1,Medium,9.5,0,0,Low
960,TXN_5298533,Food,12.5,8.0,100.0,Cash,Online,2023-11-24,True,November,Friday,4,Medium,12.5,0,0,Low
961,TXN_4777165,Milk Products,8.0,1.0,8.0,Cash,In-store,2022-06-01,True,June,Wednesday,2,Low,8.0,0,0,Low
962,TXN_7109246,Butchers,23.0,8.0,184.0,Cash,Online,2022-03-11,False,March,Friday,1,High,23.0,0,0,Medium
963,TXN_5616762,Butchers,23.0,8.0,184.0,Credit Card,Online,2022-01-24,True,January,Monday,1,High,23.0,0,0,Medium
964,TXN_1231953,Computers and electric accessories,17.0,8.0,136.0,Digital Wallet,Online,2024-02-16,False,February,Friday,1,Medium,17.0,0,0,Low
965,TXN_7547051,Food,41.0,3.0,123.0,Digital Wallet,In-store,2024-09-24,False,September,Tuesday,3,Medium,41.0,0,0,High
966,TXN_4162114,Food,21.5,5.0,107.5,Cash,Online,2023-05-02,False,May,Tuesday,2,Medium,21.5,0,0,Medium
967,TXN_1995311,Patisserie,38.0,6.0,228.0,Cash,In-store,2024-05-16,False,May,Thursday,2,High,38.0,1,0,High
968,TXN_4999688,Computers and electric accessories,21.5,7.0,150.5,Credit Card,In-store,2023-01-13,Unknown,January,Friday,1,Medium,21.5,0,0,Medium
969,TXN_4874732,Butchers,41.0,5.0,205.0,Cash,Online,2022-10-04,True,October,Tuesday,4,High,41.0,1,0,High
970,TXN_9981851,Furniture,41.0,9.0,369.0,Digital Wallet,Online,2024-11-27,Unknown,November,Wednesday,4,High,41.0,1,0,High
971,TXN_5086683,Furniture,14.0,1.0,14.0,Digital Wallet,Online,2024-10-13,False,October,Sunday,4,Low,14.0,0,0,Low
972,TXN_7021336,Beverages,8.0,10.0,80.0,Digital Wallet,Online,2022-07-03,True,July,Sunday,3,Medium,8.0,0,0,Low
973,TXN_2059563,Computers and electric accessories,21.5,5.0,107.5,Digital Wallet,Online,2024-07-23,True,July,Tuesday,3,Medium,21.5,0,0,Medium
974,TXN_1497345,Furniture,24.5,8.0,196.0,Cash,Online,2022-01-05,True,January,Wednesday,1,High,24.5,1,0,Medium
975,TXN_2024330,Patisserie,38.0,9.0,342.0,Credit Card,Online,2024-06-29,Unknown,June,Saturday,2,High,38.0,1,0,High
976,TXN_1277309,Computers and electric accessories,14.0,9.0,126.0,Credit Card,In-store,2023-06-01,False,June,Thursday,2,Medium,14.0,0,0,Low
977,TXN_6956313,Beverages,6.5,10.0,65.0,Cash,In-store,2023-09-04,Unknown,September,Monday,3,Low,6.5,0,0,Low
978,TXN_2334740,Electric household essentials,15.5,2.0,31.0,Credit Card,In-store,2022-11-11,Unknown,November,Friday,4,Low,15.5,0,0,Low
979,TXN_3803930,Electric household essentials,36.5,5.0,182.5,Digital Wallet,Online,2025-01-14,True,January,Tuesday,1,High,36.5,0,0,High
980,TXN_3514548,Electric household essentials,41.0,1.0,41.0,Credit Card,In-store,2024-04-05,False,April,Friday,2,Low,41.0,0,0,High
981,TXN_8322817,Patisserie,23.0,8.0,184.0,Digital Wallet,In-store,2022-06-15,Unknown,June,Wednesday,2,High,23.0,0,0,Medium
982,TXN_2706063,Butchers,21.5,4.0,86.0,Cash,Online,2022-09-10,False,September,Saturday,3,Medium,21.5,0,0,Medium
983,TXN_8914114,Milk Products,23.0,8.0,184.0,Digital Wallet,In-store,2023-09-22,True,September,Friday,3,High,23.0,0,0,Medium
984,TXN_3426280,Computers and electric accessories,21.5,5.0,107.5,Digital Wallet,In-store,2024-02-28,Unknown,February,Wednesday,1,Medium,21.5,0,0,Medium
985,TXN_1465531,Milk Products,6.5,10.0,65.0,Credit Card,In-store,2024-07-03,True,July,Wednesday,3,Low,6.5,0,0,Low
986,TXN_2677539,Food,39.5,6.0,237.0,Cash,In-store,2022-08-31,False,August,Wednesday,3,High,39.5,1,0,High
987,TXN_8355918,Electric household essentials,12.5,1.0,12.5,Digital Wallet,In-store,2024-06-03,Unknown,June,Monday,2,Low,12.5,0,0,Low
988,TXN_6666458,Furniture,39.5,2.0,79.0,Digital Wallet,In-store,2023-03-29,False,March,Wednesday,1,Medium,39.5,0,0,High
989,TXN_9941031,Patisserie,11.0,5.0,55.0,Credit Card,In-store,2023-04-14,False,April,Friday,2,Low,11.0,0,0,Low
990,TXN_8295482,Electric household essentials,33.5,3.0,100.5,Cash,Online,2022-11-09,Unknown,November,Wednesday,4,Medium,33.5,0,0,High
991,TXN_5747894,Beverages,14.0,6.0,84.0,Credit Card,Online,2024-09-25,False,September,Wednesday,3,Medium,14.0,0,0,Low
992,TXN_8420316,Food,24.5,7.0,171.5,Digital Wallet,In-store,2024-02-21,Unknown,February,Wednesday,1,High,24.5,0,0,Medium
993,TXN_8847569,Electric household essentials,35.0,5.0,175.0,Cash,In-store,2023-07-19,True,July,Wednesday,3,High,35.0,0,0,High
994,TXN_1662766,Milk Products,27.5,2.0,55.0,Digital Wallet,Online,2024-05-19,False,May,Sunday,2,Low,27.5,0,0,Medium
995,TXN_6276011,Butchers,36.5,4.0,146.0,Cash,Online,2022-06-10,True,June,Friday,2,Medium,36.5,0,0,High
996,TXN_9003488,Computers and electric accessories,9.5,7.0,66.5,Cash,Online,2022-10-22,Unknown,October,Saturday,4,Low,9.5,0,0,Low
997,TXN_2510850,Beverages,21.5,7.0,150.5,Cash,In-store,2024-02-15,Unknown,February,Thursday,1,Medium,21.5,0,0,Medium
998,TXN_5038261,Patisserie,5.0,8.0,40.0,Credit Card,In-store,2023-06-07,True,June,Wednesday,2,Low,5.0,0,0,Low
999,TXN_4954934,Computers and electric accessories,33.5,4.0,134.0,Cash,In-store,2024-08-13,False,August,Tuesday,3,Medium,33.5,0,0,High
1000,TXN_3032195,Beverages,6.5,6.0,39.0,Digital Wallet,Online,2022-02-14,False,February,Monday,1,Low,6.5,0,0,Low
1001,TXN_4104623,Butchers,26.0,2.0,52.0,Cash,Online,2024-10-25,Unknown,October,Friday,4,Low,26.0,0,0,Medium
1002,TXN_9535889,Electric household essentials,29.0,1.0,29.0,Credit Card,Online,2024-03-20,True,March,Wednesday,1,Low,29.0,0,0,Medium
1003,TXN_6950644,Milk Products,35.0,7.0,245.0,Credit Card,Online,2024-11-20,True,November,Wednesday,4,High,35.0,1,0,High
1004,TXN_7948898,Patisserie,24.5,2.0,49.0,Cash,Online,2022-07-17,Unknown,July,Sunday,3,Low,24.5,0,0,Medium
1005,TXN_6375978,Milk Products,20.0,10.0,200.0,Digital Wallet,In-store,2022-04-07,False,April,Thursday,2,High,20.0,1,0,Medium
1006,TXN_2090456,Butchers,23.0,10.0,230.0,Cash,In-store,2023-12-15,True,December,Friday,4,High,23.0,1,0,Medium
1007,TXN_3974668,Furniture,15.5,3.0,46.5,Digital Wallet,Online,2024-03-22,Unknown,March,Friday,1,Low,15.5,0,0,Low
1008,TXN_5403498,Furniture,14.0,7.0,98.0,Credit Card,In-store,2024-05-18,True,May,Saturday,2,Medium,14.0,0,0,Low
1009,TXN_6255024,Beverages,32.0,3.0,96.0,Digital Wallet,Online,2023-07-18,True,July,Tuesday,3,Medium,32.0,0,0,High
1010,TXN_5980975,Furniture,5.0,6.0,30.0,Credit Card,Online,2023-08-01,Unknown,August,Tuesday,3,Low,5.0,0,0,Low
1011,TXN_9094922,Electric household essentials,32.0,5.0,160.0,Credit Card,In-store,2022-07-12,False,July,Tuesday,3,Medium,32.0,0,0,High
1012,TXN_3928788,Food,24.5,8.0,196.0,Credit Card,Online,2024-04-29,False,April,Monday,2,High,24.5,1,0,Medium
1013,TXN_2306841,Furniture,38.0,2.0,76.0,Cash,In-store,2023-05-06,True,May,Saturday,2,Medium,38.0,0,0,High
1014,TXN_4176444,Butchers,35.0,2.0,70.0,Digital Wallet,In-store,2022-10-15,False,October,Saturday,4,Medium,35.0,0,0,High
1015,TXN_6651280,Patisserie,27.5,6.0,165.0,Digital Wallet,In-store,2022-12-05,True,December,Monday,4,High,27.5,0,0,Medium
1016,TXN_5085529,Computers and electric accessories,35.0,10.0,350.0,Credit Card,In-store,2023-09-22,True,September,Friday,3,High,35.0,1,0,High
1017,TXN_9454633,Butchers,33.5,5.0,167.5,Credit Card,In-store,2024-04-04,Unknown,April,Thursday,2,High,33.5,0,0,High
1018,TXN_4298148,Butchers,21.5,8.0,172.0,Credit Card,Online,2022-01-11,Unknown,January,Tuesday,1,High,21.5,0,0,Medium
1019,TXN_7459810,Food,14.0,8.0,112.0,Digital Wallet,Online,2022-12-01,False,December,Thursday,4,Medium,14.0,0,0,Low
1020,TXN_9834766,Butchers,36.5,9.0,328.5,Credit Card,Online,2023-10-24,False,October,Tuesday,4,High,36.5,1,0,High
1021,TXN_3051299,Food,24.5,10.0,245.0,Digital Wallet,Online,2025-01-11,False,January,Saturday,1,High,24.5,1,0,Medium
1022,TXN_5276329,Food,11.0,1.0,11.0,Cash,Online,2023-12-18,False,December,Monday,4,Low,11.0,0,0,Low
1023,TXN_9472056,Milk Products,15.5,7.0,108.5,Cash,In-store,2024-06-22,True,June,Saturday,2,Medium,15.5,0,0,Low
1024,TXN_9328530,Furniture,21.5,10.0,215.0,Credit Card,Online,2023-06-28,True,June,Wednesday,2,High,21.5,1,0,Medium
1025,TXN_9442074,Butchers,14.0,6.0,84.0,Credit Card,Online,2023-10-24,True,October,Tuesday,4,Medium,14.0,0,0,Low
1026,TXN_1860632,Computers and electric accessories,24.5,8.0,196.0,Cash,In-store,2022-11-30,True,November,Wednesday,4,High,24.5,1,0,Medium
1027,TXN_8655596,Computers and electric accessories,23.0,6.0,138.0,Credit Card,In-store,2024-12-29,False,December,Sunday,4,Medium,23.0,0,0,Medium
1028,TXN_7516693,Food,24.5,2.0,49.0,Digital Wallet,Online,2023-04-19,False,April,Wednesday,2,Low,24.5,0,0,Medium
1029,TXN_9501990,Milk Products,5.0,5.0,25.0,Cash,In-store,2022-02-18,False,February,Friday,1,Low,5.0,0,0,Low
1030,TXN_3368345,Furniture,12.5,6.0,75.0,Credit Card,In-store,2022-10-03,False,October,Monday,4,Medium,12.5,0,0,Low
1031,TXN_6616600,Food,20.0,4.0,80.0,Digital Wallet,In-store,2022-11-20,True,November,Sunday,4,Medium,20.0,0,0,Medium
1032,TXN_4494866,Computers and electric accessories,6.5,4.0,26.0,Credit Card,In-store,2024-03-11,False,March,Monday,1,Low,6.5,0,0,Low
1033,TXN_7145436,Milk Products,39.5,8.0,316.0,Cash,In-store,2024-08-18,Unknown,August,Sunday,3,High,39.5,1,0,High
1034,TXN_1530750,Milk Products,5.0,2.0,10.0,Cash,Online,2022-11-12,True,November,Saturday,4,Low,5.0,0,0,Low
1035,TXN_9066396,Furniture,18.5,2.0,37.0,Digital Wallet,Online,2023-03-21,Unknown,March,Tuesday,1,Low,18.5,0,0,Low
1036,TXN_8866685,Electric household essentials,35.0,1.0,35.0,Digital Wallet,Online,2022-08-04,False,August,Thursday,3,Low,35.0,0,0,High
1037,TXN_2985819,Beverages,29.0,9.0,261.0,Digital Wallet,Online,2023-09-07,False,September,Thursday,3,High,29.0,1,0,Medium
1038,TXN_9803487,Beverages,9.5,5.0,47.5,Credit Card,Online,2023-03-29,False,March,Wednesday,1,Low,9.5,0,0,Low
1039,TXN_5726935,Milk Products,23.0,9.0,207.0,Credit Card,Online,2022-02-23,True,February,Wednesday,1,High,23.0,1,0,Medium
1040,TXN_1638586,Food,12.5,6.0,75.0,Digital Wallet,Online,2023-05-19,Unknown,May,Friday,2,Medium,12.5,0,0,Low
1041,TXN_9012270,Beverages,29.0,4.0,116.0,Digital Wallet,Online,2022-10-17,False,October,Monday,4,Medium,29.0,0,0,Medium
1042,TXN_8454077,Computers and electric accessories,23.0,2.0,46.0,Cash,Online,2023-02-15,True,February,Wednesday,1,Low,23.0,0,0,Medium
1043,TXN_5684370,Computers and electric accessories,32.0,5.0,160.0,Cash,In-store,2022-10-06,True,October,Thursday,4,Medium,32.0,0,0,High
1044,TXN_8625922,Beverages,12.5,10.0,125.0,Credit Card,Online,2023-12-22,False,December,Friday,4,Medium,12.5,0,0,Low
1045,TXN_9193765,Milk Products,27.5,10.0,275.0,Digital Wallet,In-store,2023-09-13,Unknown,September,Wednesday,3,High,27.5,1,0,Medium
1046,TXN_8466158,Patisserie,38.0,4.0,152.0,Credit Card,Online,2023-04-08,Unknown,April,Saturday,2,Medium,38.0,0,0,High
1047,TXN_6490751,Electric household essentials,15.5,1.0,15.5,Credit Card,In-store,2023-04-27,True,April,Thursday,2,Low,15.5,0,0,Low
1048,TXN_4421171,Patisserie,33.5,10.0,335.0,Cash,Online,2023-01-15,Unknown,January,Sunday,1,High,33.5,1,0,High
1049,TXN_9573978,Computers and electric accessories,29.0,10.0,290.0,Cash,Online,2022-03-03,Unknown,March,Thursday,1,High,29.0,1,0,Medium
1050,TXN_5094937,Patisserie,21.5,4.0,86.0,Digital Wallet,In-store,2022-10-25,Unknown,October,Tuesday,4,Medium,21.5,0,0,Medium
